timestamp,username,ip,result
2025-10-31T15:20:05.481371,user15,198.51.100.13,fail_bad_pwd
2025-10-31T15:22:25.481371,user20,198.51.100.11,success
2025-10-31T15:22:53.481371,user12,198.51.100.19,success
2025-10-31T15:24:19.481371,user9,203.0.113.2,success
2025-10-31T15:24:37.481371,user4,198.51.100.3,fail_bad_pwd
2025-10-31T15:25:05.481371,user18,203.0.113.11,success
2025-10-31T15:26:22.481371,user3,203.0.113.6,success
2025-10-31T15:26:29.481371,user8,203.0.113.12,success
2025-10-31T15:26:44.481371,user6,198.51.100.2,success
2025-10-31T15:27:39.481371,user7,198.51.100.1,success
2025-10-31T15:28:48.481371,user9,198.51.100.13,success
2025-10-31T15:30:02.481371,user4,203.0.113.12,success
2025-10-31T15:30:17.481371,user10,203.0.113.2,success
2025-10-31T15:30:49.481371,user17,198.51.100.13,success
2025-10-31T15:32:16.481371,user3,198.51.100.16,success
2025-10-31T15:33:38.481371,user6,203.0.113.12,success
2025-10-31T15:35:05.481371,user14,198.51.100.6,success
2025-10-31T15:35:48.481371,user1,198.51.100.4,success
2025-10-31T15:36:23.481371,user2,203.0.113.17,success
2025-10-31T15:37:08.481371,user6,203.0.113.3,success
2025-10-31T15:39:06.481371,user8,203.0.113.12,success
2025-10-31T15:39:06.481371,user20,203.0.113.6,success
2025-10-31T15:39:07.481371,user7,203.0.113.5,success
2025-10-31T15:39:09.481371,user16,198.51.100.1,fail_bad_pwd
2025-10-31T15:39:09.481371,user12,203.0.113.15,success
2025-10-31T15:41:00.481371,user20,198.51.100.7,success
2025-10-31T15:41:55.481371,user20,203.0.113.1,success
2025-10-31T15:42:07.481371,user2,198.51.100.19,fail_bad_pwd
2025-10-31T15:42:16.481371,user6,203.0.113.14,success
2025-10-31T15:43:56.481371,user7,198.51.100.9,success
2025-10-31T15:44:26.481371,user8,203.0.113.10,success
2025-10-31T15:44:29.481371,user17,203.0.113.16,success
2025-10-31T15:44:30.481371,user13,203.0.113.16,fail_bad_pwd
2025-10-31T15:44:36.481371,user4,203.0.113.14,success
2025-10-31T15:44:47.481371,user15,198.51.100.2,success
2025-10-31T15:48:00.481371,user1,203.0.113.1,success
2025-10-31T15:48:12.481371,user14,203.0.113.4,success
2025-10-31T15:48:21.481371,user7,198.51.100.12,success
2025-10-31T15:49:03.481371,user11,203.0.113.1,success
2025-10-31T15:49:05.481371,user11,203.0.113.15,success
2025-10-31T15:49:24.481371,user10,198.51.100.11,success
2025-10-31T15:49:30.481371,user5,203.0.113.5,success
2025-10-31T15:51:07.481371,user4,203.0.113.5,fail_no_user
2025-10-31T15:51:36.481371,user16,198.51.100.13,success
2025-10-31T15:51:50.481371,user13,203.0.113.16,success
2025-10-31T15:52:23.481371,user15,203.0.113.4,success
2025-10-31T15:52:46.481371,user6,203.0.113.3,success
2025-10-31T15:53:32.481371,user6,203.0.113.7,success
2025-10-31T15:54:07.481371,user9,203.0.113.17,success
2025-10-31T15:54:56.481371,user14,198.51.100.4,success
2025-10-31T15:57:29.481371,user17,203.0.113.13,success
2025-10-31T15:59:04.481371,user7,203.0.113.5,success
2025-10-31T16:00:57.481371,user8,198.51.100.4,success
2025-10-31T16:01:06.481371,user16,203.0.113.10,success
2025-10-31T16:01:38.481371,user19,198.51.100.3,fail_bad_pwd
2025-10-31T16:01:41.481371,user11,203.0.113.4,success
2025-10-31T16:03:10.481371,user7,203.0.113.15,success
2025-10-31T16:03:44.481371,user17,198.51.100.15,success
